# z_Value Average_Flux
8.855640715352776707e-03 7.567884826660156250e+01
2.241926315399209169e-02 1.327571258544921875e+02
5.908018248415687623e-02 8.454343414306640625e+01
4.671646556229245434e-02 1.244127197265625000e+02
5.300152585430221996e-02 6.595096588134765625e+01
2.666524391593928442e-02 3.952569961547851562e+01
8.574778455047303571e-02 1.259975204467773438e+02
3.588469483110468677e-02 4.589076614379882812e+01
3.021766645037187241e-02 1.552330017089843750e+02
2.998014830407720252e-02 7.678713226318359375e+01
3.054223964808011962e-02 3.937808227539062500e+01
2.808347485510800587e-02 6.689531707763671875e+01
3.388459028643797666e-02 9.349950408935546875e+01
3.187950742430894352e-02 1.866851806640625000e+02
1.021202261046984250e-01 8.371121215820312500e+01
9.000594908936754290e-02 2.011162719726562500e+02
2.312566020022531824e-02 3.338674163818359375e+01
3.069224421372125297e-02 4.984513854980468750e+01
8.399921604600810165e-02 2.332745361328125000e+02
1.018667249391826818e-01 8.724365997314453125e+01
8.449855438831478660e-02 1.831125183105468750e+02
2.879511223551212487e-02 3.956032562255859375e+01
2.855851114769736646e-02 1.213146743774414062e+02
2.808485044282791471e-02 9.287159729003906250e+01
8.399921604600810165e-02 1.702199554443359375e+02
4.141881523642877705e-02 5.045198059082031250e+01
9.101052114992312647e-02 1.468022613525390625e+02
2.875449964568788444e-02 5.895438766479492188e+01
8.175504293733305838e-02 1.477468719482421875e+02
4.582272656945062667e-02 5.857178497314453125e+01
2.194848463291654631e-02 1.249135589599609375e+02
4.450386546699693080e-02 6.365819549560546875e+01
7.579370428872876653e-02 1.273349609375000000e+02
2.548400708964811828e-02 1.561977691650390625e+02
3.592642099194025967e-02 8.920938110351562500e+01
7.257803872895166042e-02 2.523545989990234375e+02
3.164159625295147327e-02 8.291974639892578125e+01
8.674842636040047683e-02 1.514372253417968750e+02
7.085069357787876498e-02 8.593375396728515625e+01
3.116708399377920644e-02 1.205809631347656250e+02
7.604117906994818654e-02 3.051034851074218750e+02
3.410730448869992576e-02 5.058200073242187500e+01
3.116708399377920644e-02 4.347194671630859375e+01
4.494385702481861616e-02 6.493230438232421875e+01
4.163923679249098564e-02 3.572310638427734375e+01
6.642136662412830017e-02 7.040060424804687500e+01
1.200281510751659148e-01 1.075378341674804688e+02
9.377754860049676566e-02 2.002029724121093750e+02
4.118771649949342500e-02 7.205811309814453125e+01
8.674842636040047683e-02 2.358048400878906250e+02
2.265448865408700718e-02 6.132307434082031250e+01
3.455214335562966504e-02 3.105684089660644531e+01
5.542878313807193119e-02 1.404865722656250000e+02
3.410730448869992576e-02 4.102548599243164062e+01
2.690197601210831194e-02 1.012154541015625000e+02
2.920176216717163334e-02 2.712023735046386719e+01
2.312566020022531824e-02 9.879038238525390625e+01
2.974321969537677482e-02 9.226737976074218750e+01
3.566289768732261445e-02 2.781603622436523438e+01
7.604117906994818654e-02 1.246761703491210938e+02
7.728064910971309265e-02 1.559172821044921875e+02
4.214669765276263941e-02 3.170354309082031250e+02
2.404671443493279145e-02 2.585798072814941406e+01
1.281222402271370991e-02 4.878649902343750000e+01
3.259238938407865022e-02 3.306194686889648438e+01
6.225536646246390693e-02 7.538122558593750000e+01
5.300152585430221996e-02 1.470511016845703125e+02
4.966800517902225098e-01 1.745999145507812500e+01
2.942552443626777689e-02 5.115810012817382812e+01
3.544051100594635545e-02 5.379850769042968750e+01
8.275201651334106179e-02 1.252243881225585938e+02
1.773420789270310771e-02 4.470481109619140625e+01
2.427172128339450882e-02 4.596429824829101562e+01
3.568818229969706463e-02 7.159568786621093750e+01
3.975003081971538454e-02 6.873864746093750000e+01
8.001289384222734502e-02 1.662727050781250000e+02
4.094764369029047640e-02 8.009729766845703125e+01
9.000594908936754290e-02 1.177620849609375000e+02
3.965111951224020020e-02 3.584767532348632812e+01
9.251908234936227771e-02 1.487810668945312500e+02
3.566289768732261445e-02 5.105112838745117188e+01
3.898762770203090949e-02 6.675678253173828125e+01
2.453976437623451787e-02 2.315632019042968750e+02
2.472107993854658764e-02 7.095449829101562500e+01
4.053536039939726471e-02 2.625296592712402344e+01
2.642910135736446092e-02 5.319571685791015625e+01
4.009333821208448112e-02 3.625145339965820312e+01
3.987252363095940277e-02 7.140876007080078125e+01
3.031867389151538320e-02 2.480578041076660156e+01
4.075656800558518505e-02 5.085997009277343750e+01
3.388459028643797666e-02 3.488031387329101562e+01
3.544051100594635545e-02 4.859239578247070312e+01
7.356656226610922000e-02 1.371320343017578125e+02
4.230141851915752288e-02 4.413407135009765625e+01
1.016126997402496956e-01 1.661929779052734375e+02
3.987252363095940277e-02 2.698123359680175781e+01
3.045466056324943466e-02 1.510630340576171875e+02
9.126153315670791633e-02 3.148036193847656250e+02
2.808485044282791471e-02 1.447157440185546875e+02
2.761145175466692830e-02 5.952931594848632812e+01
2.218357912465718923e-02 5.896239852905273438e+01
3.219924641374452556e-01 1.289704284667968750e+02
4.648202611232312570e-02 2.973314476013183594e+01
3.640368442655222275e-02 1.608232574462890625e+02
2.595642321515199968e-02 1.237563629150390625e+02
7.109757882150391506e-02 2.945896911621093750e+02
2.998014830407720252e-02 1.071048278808593750e+02
9.831987025980652717e-02 1.782922210693359375e+02
8.925343710243052731e-02 9.439776611328125000e+01
2.171286610775880616e-02 4.422200393676757812e+01
4.190701786862248424e-02 5.526342773437500000e+01
9.126153315670791633e-02 1.989730072021484375e+02
3.402018393310919653e-02 1.025084152221679688e+02
3.254928763552325521e-02 5.477063369750976562e+01
2.288977965835903294e-02 1.310489349365234375e+02
3.098865061526107426e-02 3.372622680664062500e+01
2.171286610775880616e-02 1.274844894409179688e+02
8.225339871698270078e-02 8.674163055419921875e+01
8.524779116639490117e-02 2.044831542968750000e+02
2.312566020022531824e-02 1.228846511840820312e+02
6.274474816984600134e-02 6.691305541992187500e+01
3.211689456224934430e-02 1.283758697509765625e+02
